Ticker, Company Name, Market Cap, Currency
ACHR,Archer Aviation Inc.,906755264,USD
ARQQ,Arqit Quantum Inc.,1091463552,USD
ASTR,Astra Space Inc.,853191616,USD
ASTS,AST SpaceMobile Inc.,1304182272,USD
BKSY,BlackSky Technology Inc.,195190368,USD
BLDE,Blade Air Mobility Inc.,645439872,USD
IONQ,IonQ Inc.,1620935040,USD
JOBY,Joby Aviation Inc.,3126144512,USD
LILM,Lilium N.V.,895434944,USD
MNTS,Momentus Inc.,225663952,USD
PL,Planet Labs PBC,1374306560,USD
RDW,Redwire Corporation,359950592,USD
RKLB,Rocket Lab USA Inc.,3402167552,USD
SATL,Satellogic Inc.,807172992,USD
SPIR,Spire Global Inc.,231722720,USD
SPCE,Virgin Galactic Holdings Inc.,1991408128,USD
VORB,Virgin Orbit Holdings Inc.,1945885184,USD
Timestamp,2022-04-27 18:08:27.545350
